canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m
P-619123,2025-06,,,,,,,0.0,11.298330998205639,24.2,-12.90166900179436,2.0299999999999976,4.099999999999998,,0.23000000000000398,0.480000000000004,,1.366666666666666,,0,0,0,88,1,,,0,0,1,1
P-619123,2026-01,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.64700243344885,24.7180076967311,52.0,-27.2819923032689,,,,,,,,,0,0,1,88,1,,,0,,1,0
P-619123,2026-02,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.64700243344885,24.75781837483965,54.0,-29.24218162516035,2.0,,,0.27000000000001023,,,,,0,0,1,88,1,,,,,0,0
P-619123,2026-04,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.64700243344885,28.986597071703454,61.5,-32.51340292829654,,9.5,,,28.950000000000017,,3.1666666666666665,,0,0,1,88,1,,,,,0,0
P-619124,2025-01,,,,,,,0.0,9.852935272785666,10.5,-0.6470647272143335,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619124,2025-02,,,,,,,0.0,12.38608839941656,14.84,-2.4539116005834405,4.34,,,18.930000000000007,,,,,0,0,0,88,1,,,0,0,1,1
P-619124,2025-03,,,,,,,0.0,15.829196162132506,21.3,-5.470803837867495,6.460000000000001,,,25.730000000000004,,,,,0,0,0,88,1,,,0,0,1,1
P-619124,2025-04,,,,,,,0.0,15.830534330714984,28.1,-12.269465669285017,6.800000000000001,17.6,,0.009999999999990905,44.67,,5.866666666666667,,0,0,0,88,1,,,0,0,1,1
P-619124,2025-05,,,,,,,0.0,19.087636660466483,30.8,-11.712363339533518,2.6999999999999993,15.96,,24.33999999999999,50.079999999999984,,5.32,,0,0,0,88,1,,,0,0,1,1
P-619124,2025-06,,,,,,,0.0,19.088974829048965,32.02,-12.931025170951038,1.2200000000000024,10.720000000000002,,0.010000000000019327,24.36,,3.573333333333334,,0,0,0,88,1,,,0,0,1,1
P-619124,2026-01,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.119578744530227,28.51809900611011,60.0,-31.48190099388989,,,,,,,,,0,0,1,88,1,,,0,,1,0
P-619124,2026-02,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.119578744530227,32.55428106504156,63.0,-30.445718934958443,3.0,,,25.30000000000001,,,,,0,0,1,88,1,,,,,0,0
P-619124,2026-04,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-16.119578744530227,36.36711708118629,69.6,-33.23288291881371,,9.599999999999994,,,49.20000000000002,,3.199999999999998,,0,0,1,88,1,,,,,0,0
P-619125,2025-01,,,,,,,0.0,4.940709672159363,2.34,2.600709672159363,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619125,2025-02,,,,,,,0.0,4.940709672159363,5.45,-0.5092903278406373,3.1100000000000003,,,0.0,,,,,0,0,0,88,1,,,0,0,1,1
P-619125,2025-03,,,,,,,0.0,8.333257842719835,8.9,-0.5667421572801654,3.45,,,37.449999999999996,,,,,0,0,0,88,1,,,0,0,1,1
P-619125,2025-04,,,,,,,0.0,12.095408056962198,12.04,0.055408056962198415,3.139999999999999,9.7,,41.530000000000015,78.98000000000002,,3.233333333333333,,0,0,0,88,1,,,0,0,1,1
P-619125,2025-05,,,,,,,0.0,12.128020001992951,14.5,-2.371979998007049,2.460000000000001,9.05,,0.3599999999999852,79.34,,3.016666666666667,,0,0,0,88,1,,,0,0,1,1
P-619125,2025-06,,,,,,,0.0,12.128925889354916,15.98,-3.8510741106450848,1.4800000000000004,7.08,,0.009999999999990905,41.89999999999999,,2.36,,0,0,0,88,1,,,0,0,1,1
P-619125,2026-01,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-14.515807591267336,17.12057308776466,35.0,-17.87942691223534,,,,,,,,,0,0,1,88,1,,,0,,1,0
P-619125,2026-02,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-14.515807591267336,17.14070745819469,39.0,-21.85929254180531,4.0,,,0.18999999999999773,,,,,0,0,1,88,1,,,,,0,0
P-619125,2026-04,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-14.515807591267336,20.91431235826463,43.16,-22.245687641735366,,8.159999999999997,,,35.80000000000001,,2.719999999999999,,0,0,1,88,1,,,,,0,0
P-619126,2025-01,,,,,,,0.0,16.583367472347398,26.52,-9.936632527652602,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619126,2025-02,,,,,,,0.0,16.583367472347398,30.8,-14.216632527652603,4.280000000000001,,,0.0,,,,,0,0,0,88,1,,,0,0,1,1
P-619126,2025-03,,,,,,,0.0,20.16591560835723,35.18,-15.014084391642768,4.379999999999999,,,34.98000000000002,,,,,0,0,0,88,1,,,0,0,1,1
P-619126,2025-04,,,,,,,0.0,20.17820565342073,37.9,-17.72179434657927,2.719999999999999,11.379999999999999,,0.12000000000000455,35.10000000000002,,3.793333333333333,,0,0,0,88,1,,,0,0,1,1
P-619126,2025-05,,,,,,,0.0,23.523146251536257,41.0,-17.476853748463743,3.1000000000000014,10.2,,32.66,67.76000000000002,,3.4,,0,0,0,88,1,,,0,0,1,1
P-619126,2025-06,,,,,,,0.0,23.523146251536257,43.6,-20.076853748463744,2.6000000000000014,8.420000000000002,,0.0,32.78,,2.806666666666667,,0,0,0,88,1,,,0,0,1,1
P-619126,2026-01,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-18.19932200612447,32.517434362910194,68.0,-35.482565637089806,,,,,,,,,0,0,1,88,1,,,0,,1,0
P-619126,2026-02,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-18.19932200612447,32.51868638179064,73.0,-40.48131361820936,5.0,,,0.009999999999990905,,,,,0,0,1,88,1,,,,,0,0
P-619126,2026-04,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,-18.19932200612447,36.72546982008488,73.0,-36.27453017991512,,5.0,,,33.60999999999996,,1.6666666666666667,,0,0,1,88,1,,,,,0,0
P-619127,2026-01,Railways,Bihar,Ministry of Road Transport & Highways,,,,-3.0785771474322297,17.635452168084363,22.0,-4.364547831915637,,,,,,,,,0,0,0,88,1,,,0,,1,0
