canonical_project_id,snapshot_month,data_quality_score,quality_flags,source_url,source_page
L-N16000500,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,112
L-N16000500,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,93
L-N16000500,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,100
L-N16000502,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N16000502,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,86
L-N16000507,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,138
L-N16000507,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,144
L-N16000507,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000507,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,155
L-N16000507,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,124
L-N16000507,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,136
L-N16000508,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,124
L-N16000508,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,130
L-N16000508,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,125
L-N16000508,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,138
L-N16000508,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,113
