canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-617406,2025-09,Railways,"Multi-States (Madhya Pradesh, Rajasthan)",Ministry of Railways,119,30,0,0.0,0.23415134616339298,7.0,-6.765848653836607,,,,,,,,3.1,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617406,2025-10,Railways,"Multi-States (Madhya Pradesh, Rajasthan)",Ministry of Railways,120,29,0,0.0,0.23415134616339298,7.0,-6.765848653836607,0.0,,,0.0,,,,3.206896551724138,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-617408,2025-09,Railways,Rajasthan,Ministry of Railways,78,18,0,0.0,42.97480911441111,1.0,41.97480911441111,,,,,,,,5.5,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617408,2025-10,Railways,Rajasthan,Ministry of Railways,79,17,0,0.0,48.94486863464197,1.0,47.94486863464197,0.0,,,9.929999999999993,,,,5.823529411764706,1,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617409,2025-09,Railways,Telangana,Ministry of Railways,110,15,0,0.0,80.55853920515574,58.0,22.55853920515574,,,,,,,,2.8,0,0,0,90,0,,,0,0,1,1,0,0,1,1
P-617409,2025-10,Railways,Telangana,Ministry of Railways,111,14,0,0.0,80.55853920515574,58.0,22.55853920515574,0.0,,,0.0,,,,3.0,1,0,0,86,0,,,0,0,1,1,0,0,1,1
P-617412,2025-09,Electricity Generation,Telangana,Ministry of Housing & Urban Affairs,18,24,0,0.0,13.602484472049689,6.0,7.602484472049689,,,,,,,,3.9166666666666665,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617412,2025-10,Electricity Generation,Telangana,Ministry of Housing & Urban Affairs,19,23,0,0.0,13.602484472049689,6.0,7.602484472049689,0.0,,,0.0,,,,4.086956521739131,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-617413,2025-09,Telecommunication,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",Department of Telecommunications,41,2,6,0.0,5.306165764618487,55.0,-49.693834235381516,,,,,,,,22.5,0,0,0,98,0,1,1,0,0,1,1,1,1,1,1
P-617413,2025-10,Telecommunication,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",Department of Telecommunications,42,1,6,0.0,5.306165764618487,67.0,-61.693834235381516,12.0,,,0.0,,,,33.0,0,0,0,98,0,1,1,0,0,1,1,1,1,1,1
