canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400035,2025-03,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,33,6,1,0.0,58.46189024390244,80.12,-21.658109756097566,3.9200000000000017,,,4.069999999999993,,,,3.3133333333333326,0,0,0,92,0,0,1,0,0,1,1,1,1,1,1
P-400035,2025-04,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,34,5,1,0.0,60.24085365853659,81.15,-20.90914634146342,1.0300000000000011,9.050000000000011,,11.670000000000016,23.480000000000018,,3.0166666666666706,3.7699999999999987,0,0,0,84,0,0,1,0,0,1,1,1,1,1,1
P-400035,2025-05,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,35,4,1,0.0,63.39329268292683,82.2,-18.806707317073176,1.0499999999999972,6.0,,20.680000000000007,36.420000000000016,,2.0,4.449999999999999,0,0,0,84,0,1,1,0,0,1,1,1,1,1,1
P-400035,2025-06,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,36,3,1,0.0,65.20884146341463,83.17,-17.961158536585373,0.9699999999999989,3.049999999999997,,11.909999999999968,44.25999999999999,,1.0166666666666657,5.609999999999999,0,0,0,92,0,1,1,0,0,1,1,1,1,1,1
P-400035,2025-07,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,37,2,0,0.0,70.9954268292683,84.0,-13.004573170731703,0.8299999999999983,2.8499999999999943,11.900000000000006,37.960000000000036,70.55000000000001,94.03000000000003,0.9499999999999981,8.0,0,0,0,82,0,1,1,0,0,1,1,1,1,1,1
P-400035,2025-08,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,38,10,9,0.0,72.8826219512195,86.0,-13.117378048780495,2.0,3.799999999999997,9.799999999999997,12.379999999999995,62.25,98.67000000000002,1.2666666666666657,1.4,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-09,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,39,9,9,0.0,73.76524390243902,88.0,-14.234756097560975,2.0,4.829999999999998,7.8799999999999955,5.789999999999964,56.129999999999995,100.38999999999999,1.6099999999999994,1.3333333333333333,0,1,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-10,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,40,8,9,0.0,77.73170731707317,89.0,-11.268292682926827,1.0,5.0,7.849999999999994,26.02000000000004,44.19,114.74000000000001,1.6666666666666667,1.375,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-01,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,36,16,22,0.0,27.325693606755127,56.53,-29.204306393244874,,,,,,,,2.716875,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-02,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,37,15,22,0.0,27.732207478890228,57.15,-29.41779252110977,0.6199999999999974,,,3.3700000000000045,,,,2.856666666666667,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
