project_id,snapshot_month,previous_target,previous_target_source,current_target,current_target_source,reporting_regime,interpreted_change_months,semantic_comparable,exclusion_reason
P-618430,2025-04,2025-03-01,REVISED,2025-06-01,REVISED,OCMS_LEGACY,3,1,
P-618430,2025-06,2025-06-01,REVISED,2025-10-01,REVISED,OCMS_LEGACY,4,1,
P-618430,2025-12,2025-10-01,REVISED,2025-06-01,REVISED,PAIMANA,-4,0,REPORTING_REGIME_CHANGE
P-618430,2026-03,2025-06-01,REVISED,2026-04-01,REVISED,PAIMANA,10,1,
P-618430,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618431,2025-04,2025-03-01,REVISED,2025-07-01,ANTICIPATED,OCMS_LEGACY,4,0,TARGET_SOURCE_TRANSITION
P-618431,2025-05,2025-07-01,ANTICIPATED,2025-07-01,REVISED,OCMS_LEGACY,0,1,
P-618431,2025-06,2025-07-01,REVISED,2025-10-01,REVISED,OCMS_LEGACY,3,1,
P-618431,2025-12,2025-10-01,REVISED,2025-03-01,REVISED,PAIMANA,-7,0,REPORTING_REGIME_CHANGE
P-618431,2026-03,2025-03-01,REVISED,2026-05-01,REVISED,PAIMANA,14,1,
P-618433,2025-04,2025-03-01,REVISED,2025-04-01,ANTICIPATED,OCMS_LEGACY,1,0,TARGET_SOURCE_TRANSITION
P-618433,2025-05,2025-04-01,ANTICIPATED,2025-06-01,REVISED,OCMS_LEGACY,2,0,TARGET_SOURCE_TRANSITION
P-618433,2025-06,2025-06-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,1,1,
P-618433,2025-12,2025-07-01,REVISED,2023-07-01,REVISED,PAIMANA,-24,0,REPORTING_REGIME_CHANGE
P-618433,2026-02,2023-07-01,REVISED,2023-09-01,REVISED,PAIMANA,2,1,
P-618433,2026-03,2023-09-01,REVISED,2026-04-01,REVISED,PAIMANA,31,1,
P-618434,2025-04,2025-06-01,REVISED,2025-12-01,ANTICIPATED,OCMS_LEGACY,6,0,TARGET_SOURCE_TRANSITION
P-618434,2025-05,2025-12-01,ANTICIPATED,2025-12-01,REVISED,OCMS_LEGACY,0,1,
P-618434,2025-12,2025-12-01,REVISED,2025-04-01,REVISED,PAIMANA,-8,0,REPORTING_REGIME_CHANGE
P-618434,2026-03,2025-04-01,REVISED,2026-06-01,REVISED,PAIMANA,14,1,
P-618435,2025-02,2025-03-01,REVISED,2025-06-01,REVISED,OCMS_LEGACY,3,1,
P-618435,2025-04,2025-06-01,REVISED,2025-12-01,ANTICIPATED,OCMS_LEGACY,6,0,TARGET_SOURCE_TRANSITION
P-618435,2025-05,2025-12-01,ANTICIPATED,2025-12-01,REVISED,OCMS_LEGACY,0,1,
P-618435,2025-12,2025-12-01,REVISED,2025-03-01,REVISED,PAIMANA,-9,0,REPORTING_REGIME_CHANGE
P-618435,2026-02,2025-03-01,REVISED,2025-07-01,REVISED,PAIMANA,4,1,
P-618435,2026-03,2025-07-01,REVISED,2026-05-01,REVISED,PAIMANA,10,1,
P-618435,2026-04,2026-05-01,REVISED,2026-06-01,REVISED,PAIMANA,1,1,
P-618436,2025-04,2025-06-01,REVISED,2025-06-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618436,2025-05,2025-06-01,ANTICIPATED,2025-07-01,REVISED,OCMS_LEGACY,1,0,TARGET_SOURCE_TRANSITION
P-618436,2025-12,2025-07-01,REVISED,2025-03-01,REVISED,PAIMANA,-4,0,REPORTING_REGIME_CHANGE
P-618436,2026-03,2025-03-01,REVISED,2025-07-01,REVISED,PAIMANA,4,1,
P-618437,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618437,2025-04,2025-04-01,REVISED,2025-05-01,REVISED,OCMS_LEGACY,1,1,
P-618437,2025-05,2025-05-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,2,1,
P-618437,2025-12,2025-07-01,REVISED,2025-08-01,ORIGINAL,PAIMANA,1,0,REPORTING_REGIME_CHANGE
P-618437,2026-03,2025-08-01,ORIGINAL,2025-08-01,REVISED,PAIMANA,0,1,
P-618438,2025-02,2025-02-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,1,1,
P-618438,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618438,2025-04,2025-04-01,REVISED,2025-05-01,REVISED,OCMS_LEGACY,1,1,
P-618438,2025-05,2025-05-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,2,1,
P-618438,2025-12,2025-07-01,REVISED,2025-01-01,REVISED,PAIMANA,-6,0,REPORTING_REGIME_CHANGE
P-618438,2026-03,2025-01-01,REVISED,2025-08-01,REVISED,PAIMANA,7,1,
P-618444,2025-02,2025-02-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,1,1,
P-618444,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618444,2025-04,2025-04-01,REVISED,2025-05-01,REVISED,OCMS_LEGACY,1,1,
P-618444,2025-05,2025-05-01,REVISED,2025-06-01,REVISED,OCMS_LEGACY,1,1,
P-618444,2025-06,2025-06-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,1,1,
P-618444,2026-01,2025-07-01,REVISED,2024-08-01,ORIGINAL,PAIMANA,-11,0,REPORTING_REGIME_CHANGE
P-618445,2026-03,2027-12-01,ORIGINAL,2027-12-01,REVISED,PAIMANA,0,1,
P-618446,2025-04,2025-07-01,REVISED,2026-03-01,ANTICIPATED,OCMS_LEGACY,8,0,TARGET_SOURCE_TRANSITION
P-618446,2025-05,2026-03-01,ANTICIPATED,2026-03-01,REVISED,OCMS_LEGACY,0,1,
P-618446,2025-12,2026-03-01,REVISED,2025-02-01,REVISED,PAIMANA,-13,0,REPORTING_REGIME_CHANGE
P-618446,2026-03,2025-02-01,REVISED,2026-06-01,REVISED,PAIMANA,16,1,
P-618447,2025-02,2025-06-01,ORIGINAL,2025-06-01,REVISED,OCMS_LEGACY,0,1,
P-618447,2025-03,2025-06-01,REVISED,2025-06-01,ORIGINAL,OCMS_LEGACY,0,1,
P-618447,2025-04,2025-06-01,ORIGINAL,2025-12-01,ANTICIPATED,OCMS_LEGACY,6,0,TARGET_SOURCE_TRANSITION
P-618447,2025-05,2025-12-01,ANTICIPATED,2025-12-01,REVISED,OCMS_LEGACY,0,1,
P-618447,2025-12,2025-12-01,REVISED,2025-11-01,REVISED,PAIMANA,-1,0,REPORTING_REGIME_CHANGE
P-618447,2026-01,2025-11-01,REVISED,2025-09-01,REVISED,PAIMANA,-2,1,
P-618447,2026-03,2025-09-01,REVISED,2026-05-01,REVISED,PAIMANA,8,1,
P-618448,2025-04,2025-12-01,REVISED,2026-12-01,ANTICIPATED,OCMS_LEGACY,12,0,TARGET_SOURCE_TRANSITION
P-618448,2025-05,2026-12-01,ANTICIPATED,2026-12-01,REVISED,OCMS_LEGACY,0,1,
P-618448,2025-12,2026-12-01,REVISED,2025-09-01,REVISED,PAIMANA,-15,0,REPORTING_REGIME_CHANGE
P-618448,2026-03,2025-09-01,REVISED,2026-10-01,REVISED,PAIMANA,13,1,
P-618449,2025-03,2025-06-01,REVISED,2025-12-01,REVISED,OCMS_LEGACY,6,1,
P-618449,2025-04,2025-12-01,REVISED,2025-12-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618449,2025-05,2025-12-01,ANTICIPATED,2025-12-01,REVISED,OCMS_LEGACY,0,1,
P-618449,2025-06,2025-12-01,REVISED,2026-03-01,REVISED,OCMS_LEGACY,3,1,
P-618449,2025-12,2026-03-01,REVISED,2025-02-01,REVISED,PAIMANA,-13,0,REPORTING_REGIME_CHANGE
P-618449,2026-03,2025-02-01,REVISED,2026-06-01,REVISED,PAIMANA,16,1,
P-618449,2026-04,2026-06-01,REVISED,2026-09-01,REVISED,PAIMANA,3,1,
P-618450,2025-02,2025-03-01,REVISED,2025-12-01,REVISED,OCMS_LEGACY,9,1,
P-618450,2025-04,2025-12-01,REVISED,2025-12-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618450,2025-05,2025-12-01,ANTICIPATED,2025-12-01,REVISED,OCMS_LEGACY,0,1,
P-618450,2025-12,2025-12-01,REVISED,2025-04-01,REVISED,PAIMANA,-8,0,REPORTING_REGIME_CHANGE
P-618450,2026-03,2025-04-01,REVISED,2026-06-01,REVISED,PAIMANA,14,1,
P-618452,2026-01,2026-12-01,REVISED,2026-12-01,ORIGINAL,PAIMANA,0,1,
P-618452,2026-03,2026-12-01,ORIGINAL,2027-07-01,REVISED,PAIMANA,7,0,TARGET_SOURCE_TRANSITION
P-618455,2025-12,2024-09-01,REVISED,2024-10-01,REVISED,PAIMANA,1,0,REPORTING_REGIME_CHANGE
P-618455,2026-03,2024-10-01,REVISED,2024-09-01,REVISED,PAIMANA,-1,1,
P-618456,2025-02,2025-01-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,2,1,
P-618456,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618456,2025-04,2025-04-01,REVISED,2025-04-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618456,2025-05,2025-04-01,ANTICIPATED,2025-06-01,REVISED,OCMS_LEGACY,2,0,TARGET_SOURCE_TRANSITION
P-618456,2025-06,2025-06-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,1,1,
P-618456,2025-12,2025-07-01,REVISED,2025-03-01,REVISED,PAIMANA,-4,0,REPORTING_REGIME_CHANGE
P-618457,2025-02,2025-03-01,REVISED,2025-06-01,REVISED,OCMS_LEGACY,3,1,
