canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N24001616,2025-01,2025-04,4,4,100.0,0,
L-N24001618,2025-01,2025-06,6,6,100.0,0,
L-N24001623,2025-01,2025-06,6,6,100.0,0,
L-N24001624,2025-01,2025-06,6,6,100.0,0,
L-N24001625,2025-01,2025-06,6,6,100.0,0,
L-N24001636,2025-01,2025-06,6,6,100.0,0,
L-N24001641,2025-01,2025-06,6,6,100.0,0,
L-N24001650,2025-01,2025-06,6,6,100.0,0,
L-N24001654,2025-01,2025-06,6,6,100.0,0,
L-N24001662,2025-01,2025-06,6,6,100.0,0,
L-N24001663,2025-01,2025-06,6,6,100.0,0,
L-N24001666,2025-01,2025-06,6,6,100.0,0,
L-N24001670,2025-01,2025-06,6,6,100.0,0,
L-N24001671,2025-01,2025-06,6,6,100.0,0,
L-N24001673,2025-01,2025-06,6,6,100.0,0,
L-N24001675,2025-01,2025-03,3,3,100.0,0,
L-N24001683,2025-01,2025-03,3,3,100.0,0,
L-N24001684,2025-01,2025-06,6,6,100.0,0,
L-N24001686,2025-01,2025-03,3,3,100.0,0,
L-N24001691,2025-01,2025-03,3,3,100.0,0,
L-N24001692,2025-01,2025-06,6,6,100.0,0,
L-N24001696,2025-01,2025-06,6,6,100.0,0,
L-N24001698,2025-01,2025-06,6,6,100.0,0,
L-N24001701,2025-01,2025-06,6,6,100.0,0,
L-N24001704,2025-01,2025-06,6,6,100.0,0,
L-N24001705,2025-01,2025-06,6,6,100.0,0,
L-N24001708,2025-01,2025-04,4,4,100.0,0,
L-N24001711,2025-01,2025-04,4,4,100.0,0,
L-N24001715,2025-01,2025-06,6,6,100.0,0,
L-N24001716,2025-01,2025-06,6,6,100.0,0,
L-N24001722,2025-01,2025-06,6,6,100.0,0,
L-N24001725,2025-01,2025-06,6,6,100.0,0,
L-N24001726,2025-01,2025-06,6,6,100.0,0,
L-N24001728,2025-01,2025-03,3,3,100.0,0,
L-N24001736,2025-01,2025-06,6,6,100.0,0,
L-N24001737,2025-01,2025-06,6,6,100.0,0,
L-N24001739,2025-01,2025-06,6,6,100.0,0,
L-N24001744,2025-01,2025-06,6,6,100.0,0,
L-N24001747,2025-01,2025-06,6,6,100.0,0,
L-N24001748,2025-01,2025-06,6,6,100.0,0,
L-N24001755,2025-01,2025-06,6,6,100.0,0,
L-N24001756,2025-01,2025-01,1,1,100.0,0,
L-N24001758,2025-01,2025-01,1,1,100.0,0,
L-N24001761,2025-01,2025-01,1,1,100.0,0,
L-N24001765,2025-01,2025-04,4,4,100.0,0,
L-N24001768,2025-01,2025-04,4,4,100.0,0,
L-N24001770,2025-01,2025-06,6,6,100.0,0,
L-N24001775,2025-01,2025-06,6,6,100.0,0,
L-N24001778,2025-01,2025-01,1,1,100.0,0,
L-N24001779,2025-01,2025-06,6,6,100.0,0,
L-N24001783,2025-01,2025-03,3,3,100.0,0,
L-N24001788,2025-01,2025-04,4,4,100.0,0,
L-N24001791,2025-01,2025-03,3,3,100.0,0,
L-N24001797,2025-01,2025-06,6,6,100.0,0,
L-N24001811,2025-01,2025-06,6,6,100.0,0,
L-N24001813,2025-01,2025-06,6,6,100.0,0,
L-N24001815,2025-01,2025-04,4,4,100.0,0,
